BWFS IV
UTM (ETRS89; zone 31)
Point No., Easting, Northing
P_73, 495068.1, 5732104.1
P_74, 496277.2, 5731380.0
P_75, 491497.3, 5725394.1
WFZ_4, 484178.5, 5732482.8
P_78, 500129.9, 5737534.4
P_79, 496541.5, 5733070.9

Parcel IVa
UTM (ETRS89; zone 31)
Point No., Easting, Northing
P_70, 489907.4, 5734297.1
P_71, 491506.1, 5733381.0
P_72, 494277.3, 5732475.8
P_73, 495068.1, 5732104.1
P_77, 486719.0, 5730022.2
WFZ_4, 484178.5, 5732482.8

Parcel IVb
UTM (ETRS89; zone 31)
Point No., Easting, Northing
P_74, 496277.2, 5731380.0
P_75, 491497.3, 5725394.1
P_76, 487565.3, 5729202.5

Parcel IVc
UTM (ETRS89; zone 31)
Point No., Easting, Northing
P_78, 500129.9, 5737534.4
P_79, 496541.5, 5733070.9
P_80, 494865.6, 5733855.9
P_81, 492148.1, 5734736.7
P_82, 491861.6, 5734915.9
