Point, Degrees N, Degrees E, Easterly, Northerly
P_5, 51.758650, 3.110880, 507652.8, 5734201.1
P_6, 51.694840, 3.129388, 508942.8, 5727106.6
P_7, 51.693920, 3.129118, 508924.4, 5727004.4
P_8, 51.739550, 2.972631, 498110.2, 5732071.4
P_9, 51.796990, 3.044267, 503052.7, 5738460.0
P_10, 51.800740, 3.063428, 504373.7, 5738878.4
